fruit,label,actual_date,corrected_day_index,local_day_index,ir_morning_count,ir_afternoon_count,ir_evening_count,ir_total_sessions,ir_t_min_mean,ir_t_max_mean,ir_t_range_mean,srgb_morning_count,srgb_afternoon_count,srgb_evening_count,srgb_total_sessions,methane_morning_present,methane_afternoon_present,methane_evening_present,methane_total_sessions,methane_morning_ppm,methane_afternoon_ppm,methane_evening_ppm,methane_day_mean_ppm,sequence_break,days_until_spoilage,signed_days_from_spoilage,exclude,notes,ir_morning_tmin,ir_morning_tmax,ir_morning_trange,ir_afternoon_tmin,ir_afternoon_tmax,ir_afternoon_trange,ir_evening_tmin,ir_evening_tmax,ir_evening_trange,methane_morning_std,methane_morning_left,methane_morning_right,methane_afternoon_std,methane_afternoon_left,methane_afternoon_right,methane_evening_std,methane_evening_left,methane_evening_right,split
Tomato,not_spoiled,20250804,11,11,17,17,16,3,27.55,28.85,1.3,17,17,17,3,TRUE,TRUE,TRUE,3,12.6044,16.9022,17.7944,15.767,FALSE,53,53,FALSE,,27.53,28.71,1.18,27.26,28.51,1.25,27.88,29.37,1.49,0.9003,11.7592,13.52,0.5123,17.2146,16.09,0.8241,17.231,18.9614,train
Tomato,not_spoiled,20250805,12,12,17,17,17,3,29.05,30.2,1.15,17,17,17,3,TRUE,TRUE,TRUE,3,16.3911,17.675,17.2565,17.1075,FALSE,52,52,FALSE,,28.33,29.51,1.18,29.1,30.18,1.08,29.71,30.92,1.21,1.0097,15.4,17.3821,0.1454,17.5357,17.8143,0.4188,16.83,17.6475,train
Tomato,not_spoiled,20250806,13,13,17,17,17,3,29.01,30.41,1.4,0,17,17,2,TRUE,TRUE,TRUE,3,19.1747,17.7911,18.4917,18.4858,FALSE,51,51,FALSE,,26.19,27.55,1.36,29.36,30.76,1.4,31.48,32.9,1.42,0.5462,18.6,19.6831,0.8554,16.92,18.6,0.9734,17.4564,19.3677,train
Tomato,not_spoiled,20250807,14,14,17,17,17,3,29.16,30.35,1.19,17,17,17,3,TRUE,TRUE,TRUE,3,18.4475,16.2677,19.3211,18.0121,FALSE,50,50,FALSE,,28.82,29.95,1.13,29.06,30.25,1.19,29.61,30.86,1.25,0.7009,17.7108,19.086,0.2179,16.0608,16.4835,0.4169,18.9025,19.7252,train
Tomato,not_spoiled,20250808,15,15,17,17,17,3,29.41,30.69,1.28,17,17,17,3,TRUE,TRUE,TRUE,3,18.2921,15.2229,16.41,16.6417,FALSE,49,49,FALSE,,28.94,30.1,1.16,29.34,30.64,1.3,29.94,31.32,1.38,0.8095,19.16,17.5577,2.5521,17.5415,12.4827,0.9922,15.4083,17.3716,train
Tomato,not_spoiled,20250809,16,16,17,17,17,3,29.7,30.81,1.11,17,17,17,3,TRUE,TRUE,TRUE,3,16.3138,16.1937,18.9046,17.1374,FALSE,48,48,FALSE,,29.54,30.58,1.04,29.91,31.01,1.1,29.65,30.83,1.18,1.8206,18.0214,14.4092,0.0979,16.2869,16.1004,0.1983,18.728,19.1124,train
Tomato,not_spoiled,20250811,17,17,17,17,17,3,29.79,30.96,1.17,17,17,17,3,TRUE,TRUE,TRUE,3,17.53,19.0317,19.6178,18.7265,FALSE,46,46,FALSE,,28.86,30.09,1.23,29.91,31.01,1.1,30.62,31.79,1.17,0.0,17.53,17.53,0.7503,18.4114,19.9,0.3141,19.3,19.9129,train
Tomato,not_spoiled,20250812,18,18,17,17,17,3,29.45,30.57,1.12,17,17,17,3,TRUE,TRUE,TRUE,3,16.7635,20.4185,20.0804,19.0875,FALSE,45,45,FALSE,,29.22,30.32,1.1,29.56,30.65,1.09,29.55,30.74,1.19,1.662,15.4424,18.296,0.6157,21.0,19.7923,0.759,19.3369,20.8238,train
Tomato,not_spoiled,20250813,19,19,17,17,17,3,28.4,29.53,1.13,17,17,17,3,TRUE,TRUE,TRUE,3,17.4382,17.2229,18.9527,17.8713,FALSE,44,44,FALSE,,28.4,29.48,1.08,28.08,29.19,1.11,28.73,29.92,1.19,0.4321,17.8506,17.0,1.3691,18.68,15.99,0.0899,19.0327,18.8727,train
Tomato,not_spoiled,20250814,20,20,17,17,17,3,28.0,29.16,1.16,17,17,17,3,TRUE,TRUE,TRUE,3,15.9722,16.6462,16.265,16.2945,FALSE,43,43,FALSE,,27.69,28.78,1.09,27.94,29.14,1.2,28.36,29.56,1.2,0.0707,16.03,15.9212,0.381,16.286,17.0321,0.655,16.905,15.625,train
Tomato,not_spoiled,20250815,21,21,17,17,17,3,27.2,28.47,1.27,17,0,17,2,TRUE,FALSE,TRUE,2,15.789,,15.2342,15.5116,FALSE,42,42,FALSE,,26.04,27.59,1.55,27.78,28.91,1.13,27.78,28.91,1.13,0.8929,16.6353,14.8821,,,,1.315,16.74,14.13,train
Tomato,not_spoiled,20250816,22,22,17,0,0,1,26.81,27.92,1.11,17,0,0,1,TRUE,FALSE,FALSE,1,15.4214,,,15.4214,FALSE,41,41,FALSE,,26.81,27.92,1.11,,,,,,,1.0501,14.5169,16.6136,,,,,,,train
Tomato,not_spoiled,20250818,23,23,17,34,0,2,26.92,28.07,1.15,17,34,17,3,TRUE,TRUE,TRUE,3,20.6921,14.4414,16.0353,17.0563,FALSE,39,39,FALSE,,26.5,27.59,1.09,27.13,28.32,1.19,,,,2.0626,22.3947,18.28,1.3876,16.09,13.3,2.3929,13.5315,18.28,train
Tomato,not_spoiled,20250829,24,24,17,34,0,2,27.54,28.75,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,17.9609,17.5274,17.2494,17.5792,TRUE,28,28,FALSE,,27.02,28.14,1.12,27.79,29.06,1.27,,,,0.926,17.0506,18.8712,0.0619,17.57,17.4824,1.5126,18.9843,15.9711,train
Tomato,not_spoiled,20250830,25,25,0,17,17,2,28.9,30.33,1.43,0,17,17,2,FALSE,TRUE,TRUE,2,,19.1297,16.775,17.9523,FALSE,27,27,FALSE,,,,,28.62,30.09,1.47,29.19,30.56,1.37,,,,0.2121,19.3471,18.9353,1.1951,17.95,15.6,train
Tomato,not_spoiled,20250901,26,26,17,34,0,2,29.67,31.12,1.45,17,17,17,3,TRUE,TRUE,TRUE,3,13.0673,16.5991,14.5624,14.7429,FALSE,25,25,FALSE,,28.55,29.66,1.11,30.23,31.86,1.63,,,,1.9114,14.86,11.0677,0.4742,17.09,16.1573,0.8727,15.3839,13.6529,train
Tomato,not_spoiled,20250902,27,27,17,17,17,3,30.67,32.05,1.38,17,17,17,3,TRUE,TRUE,TRUE,3,14.0049,14.1713,13.8994,14.0252,FALSE,24,24,FALSE,,29.44,30.51,1.07,30.3,31.6,1.3,32.28,34.04,1.76,1.4927,15.4368,12.4933,1.1422,15.3667,13.1165,1.2833,15.0589,12.5225,train
Tomato,not_spoiled,20250903,28,28,17,17,17,3,30.06,31.34,1.28,17,17,17,3,TRUE,TRUE,TRUE,3,13.2534,12.8981,14.624,13.5918,FALSE,23,23,FALSE,,30.24,31.29,1.05,30.21,31.6,1.39,29.72,31.13,1.41,0.0784,13.18,13.3195,0.3332,12.6122,13.2657,2.1763,12.8511,17.2368,train
Tomato,not_spoiled,20250904,29,29,17,0,0,1,29.56,30.68,1.12,17,0,0,1,TRUE,TRUE,FALSE,2,12.6129,14.624,,13.6184,FALSE,22,22,FALSE,,29.56,30.68,1.12,,,,,,,0.0653,12.67,12.54,2.1763,12.8511,17.2368,,,,train
Tomato,not_spoiled,20250908,30,30,17,17,17,3,31.51,32.95,1.44,17,17,17,3,TRUE,TRUE,TRUE,3,17.6611,11.9721,14.1653,14.5995,TRUE,18,18,FALSE,,30.68,31.78,1.1,30.84,32.22,1.38,33.02,34.86,1.84,1.4483,19.0957,16.2264,0.3063,12.27,11.6741,0.8335,14.9847,13.3459,train
Tomato,not_spoiled,20250909,31,31,17,17,17,3,32.37,33.85,1.48,17,17,17,3,TRUE,TRUE,TRUE,3,17.6164,14.1667,12.6671,14.8167,FALSE,17,17,FALSE,,30.92,32.01,1.09,32.0,33.52,1.52,34.19,36.01,1.82,1.1148,18.9715,16.7355,0.2831,13.9,14.46,0.1314,12.8,12.54,train
Tomato,not_spoiled,20250910,32,32,17,23,11,3,31.97,33.2,1.23,17,34,0,2,TRUE,TRUE,TRUE,3,17.957,16.3877,14.2333,16.1927,FALSE,16,16,FALSE,,31.72,32.81,1.09,31.92,33.18,1.26,32.47,33.85,1.38,0.4442,17.4608,18.3365,0.8646,15.5118,17.215,0.559,14.68,13.55,val
Tomato,not_spoiled,20250911,33,33,17,17,17,3,31.29,32.62,1.33,17,17,17,3,TRUE,TRUE,TRUE,3,17.78,14.0453,14.9262,15.5838,FALSE,15,15,FALSE,,29.84,31.06,1.22,31.48,32.79,1.31,32.56,34.01,1.45,2.0098,19.76,15.8,0.0555,14.0367,14.055,0.357,15.2786,14.5739,val
Tomato,not_spoiled,20250912,34,34,17,17,17,3,31.4,32.74,1.34,17,17,17,3,TRUE,TRUE,TRUE,3,16.6404,15.9382,14.0769,15.5518,FALSE,14,14,FALSE,,30.26,31.44,1.18,30.55,31.9,1.35,33.38,34.86,1.48,1.1475,15.5037,17.777,0.3523,16.2942,15.6,0.245,14.335,13.8585,val
Tomato,not_spoiled,20250913,35,35,16,17,17,3,31.84,33.14,1.3,0,17,17,2,TRUE,TRUE,TRUE,3,14.6685,16.2137,13.9812,14.9545,FALSE,13,13,FALSE,,31.62,32.65,1.03,31.61,32.94,1.33,32.28,33.79,1.51,0.0415,14.68,14.655,0.5017,15.6579,16.6537,0.6992,14.6529,13.276,val
Tomato,not_spoiled,20250915,36,36,17,17,17,3,31.68,32.93,1.25,17,17,17,3,TRUE,TRUE,TRUE,3,15.5095,14.1329,15.6314,15.0913,FALSE,11,11,FALSE,,30.37,31.49,1.12,31.69,32.95,1.26,32.96,34.34,1.38,0.3886,15.984,15.2,1.5771,12.8,15.9568,1.3182,17.229,14.5663,val
Tomato,not_spoiled,20250916,37,37,17,0,17,2,32.26,33.5,1.24,17,0,17,2,TRUE,TRUE,TRUE,3,12.351,15.5815,13.2487,13.7271,FALSE,10,10,FALSE,,31.01,32.09,1.08,,,,33.52,34.9,1.38,0.3587,11.9793,12.6868,1.7903,13.9,17.44,0.6821,13.98,12.63,val
Tomato,not_spoiled,20250917,38,38,17,17,17,3,31.63,32.94,1.31,17,17,17,3,TRUE,TRUE,TRUE,3,14.9736,15.9715,17.0388,15.9946,FALSE,9,9,FALSE,,30.97,32.15,1.18,31.31,32.66,1.35,32.62,34.01,1.39,0.4316,14.5744,15.4273,0.8553,14.99,16.697,0.4696,16.5881,17.512,val
Tomato,not_spoiled,20250918,39,39,17,17,17,3,30.78,32.13,1.35,17,0,17,2,TRUE,TRUE,TRUE,3,15.4755,13.096,15.1096,14.5604,FALSE,8,8,FALSE,,30.01,31.25,1.24,30.38,31.65,1.27,31.96,33.48,1.52,1.1343,14.355,16.5959,0.7027,12.4525,13.8314,0.8899,14.3337,16.1071,test
Tomato,not_spoiled,20250919,40,40,17,17,17,3,31.34,32.55,1.21,17,17,17,3,TRUE,TRUE,TRUE,3,16.8435,18.6035,16.2268,17.2246,FALSE,7,7,FALSE,,30.45,31.58,1.13,30.95,32.12,1.17,32.61,33.96,1.35,0.0325,16.8537,16.8343,0.1359,18.4629,18.7216,0.9785,17.12,15.1783,test
Tomato,not_spoiled,20250920,41,41,17,17,17,3,30.96,32.17,1.21,17,17,0,2,TRUE,TRUE,TRUE,3,15.9521,18.7395,18.5649,17.7522,FALSE,6,6,FALSE,,30.74,31.85,1.11,30.82,32.04,1.22,31.33,32.62,1.29,2.1887,18.1652,13.8395,0.6237,19.3689,18.1415,0.0545,18.5917,18.5371,test
Tomato,not_spoiled,20250922,42,42,17,17,17,3,29.94,31.43,1.49,17,17,17,3,TRUE,TRUE,TRUE,3,15.82,20.3978,15.0918,17.1032,FALSE,4,4,FALSE,,28.85,30.18,1.33,29.56,31.05,1.49,31.42,33.06,1.64,0.8375,14.99,16.65,0.79,19.6616,21.2206,1.4549,16.82,13.8954,test
Tomato,not_spoiled,20250923,43,43,17,17,17,3,30.34,31.83,1.49,17,17,17,3,TRUE,TRUE,TRUE,3,14.26,13.6045,11.8204,13.2283,FALSE,3,3,FALSE,,29.27,30.62,1.35,30.4,31.74,1.34,31.34,33.12,1.78,0.7171,13.615,15.034,1.0783,14.669,12.54,0.1504,11.69,11.99,test
Tomato,not_spoiled,20250924,44,44,17,17,17,3,29.78,31.23,1.45,17,17,17,3,TRUE,TRUE,TRUE,3,17.0021,15.4218,14.6148,15.6796,FALSE,2,2,FALSE,,29.25,30.59,1.34,29.25,30.85,1.6,30.83,32.26,1.43,0.7763,16.352,17.905,0.6173,14.89,16.1227,0.5142,14.1406,15.1593,test
Tomato,spoiled,20250926,45,1,17,17,17,3,30.51,31.98,1.47,17,17,0,2,TRUE,TRUE,TRUE,3,15.7366,18.1377,18.4842,17.4528,FALSE,0,0,FALSE,,29.34,30.69,1.35,30.74,32.17,1.43,31.46,33.09,1.63,0.6933,15.1037,16.4796,0.07,18.0716,18.1968,0.5148,18.0039,19.022,train
Tomato,spoiled,20250929,46,2,17,17,17,3,28.54,29.96,1.42,17,0,17,2,TRUE,TRUE,TRUE,3,16.2947,18.9881,18.0976,17.7935,TRUE,0,-3,FALSE,,27.92,29.12,1.2,28.22,29.81,1.59,29.49,30.95,1.46,0.1552,16.1255,16.42,0.8131,18.07,19.6876,0.3339,18.4062,17.7487,train
Tomato,spoiled,20250930,47,3,17,17,17,3,29.0,30.33,1.33,17,17,17,3,TRUE,TRUE,TRUE,3,16.7108,18.1657,13.7057,16.1941,FALSE,0,-4,FALSE,,27.72,28.99,1.27,29.02,30.34,1.32,30.27,31.64,1.37,0.661,17.365,16.0567,0.4655,17.78,18.7137,0.3202,13.43,14.064,val
Tomato,spoiled,20251003,48,4,17,34,0,2,29.48,30.69,1.21,17,34,0,2,TRUE,TRUE,TRUE,3,17.0727,16.6961,17.3884,17.0524,TRUE,0,-7,FALSE,,28.62,29.79,1.17,29.91,31.14,1.23,,,,0.2463,17.3153,16.83,0.9985,15.62,17.5928,0.7292,18.128,16.695,test
